string_combination,,id,em,dm,events,lat_play,trips,seeds,tnb,online,ap,tp,string,sum,organization,total_amount,group,color,segment,Opportunities,,,
DM EM Online Events Seeds Trips Third Party Lattice Play,,331,1,1,1,1,1,1,0,1,0,1,1111110101,8,DM EM Online Events Keep It  Trips Third Party Lattice Play,125000,High,#7AB800,HCLS,1,,,
DM EM Online Events Account's Play Lattice Play,,332,1,1,1,1,0,0,0,1,1,0,1111000110,6,DM EM Online Events Account's Play Lattice Play,7500,Low,#DC5034,HCLS,2,,,
DM EM Online Events Account's Play Third Party Lattice Play,,333,1,1,1,1,0,0,0,1,1,1,1111000111,7,DM EM Online Events Account's Play Third Party Lattice Play,58619,Medium,#c1d82f,HCLS,2,,,
DM EM Online Events Account's Play Trips,,334,1,1,1,0,1,0,0,1,1,0,1110100110,6,DM EM Online Events Account's Play Trips  ,89500,High,#7AB800,HCLS,2,,,
DM EM Online Events Account's Play Trips Lattice Play,,335,1,1,1,1,1,0,0,1,1,0,1111100110,7,DM EM Online Events Account's Play Trips  Lattice Play,94982,High,#7AB800,HCLS,78,,,
DM EM Online Events Account's Play Trips Third Party,,336,1,1,1,0,1,0,0,1,1,1,1110100111,7,DM EM Online Events Account's Play Trips Third Party ,13158,Low,#DC5034,HCLS,1,,,
DM EM Online Events Account's Play Trips Third Party Lattice Play,,337,1,1,1,1,1,0,0,1,1,1,1111100111,8,DM EM Online Events Account's Play Trips Third Party Lattice Play,116898,High,#7AB800,HCLS,299,,,
DM EM Online Events Account's Play Trips Try n' Buy Lattice Play,,338,1,1,1,1,1,0,1,1,1,0,1111101110,8,DM EM Online Events Account's Play Trips  Try n' Buy Lattice Play,20000,Low,#DC5034,HCLS,1,,,
DM EM Online Events Account's Play Trips Try n' Buy Third Party Lattice Play,,339,1,1,1,1,1,0,1,1,1,1,1111101111,9,DM EM Online Events Account's Play Trips  Try n' Buy Third Party Lattice Play,84271,High,#7AB800,HCLS,24,,,
DM EM Online Events Account's Play Seeds Trips Lattice Play,,340,1,1,1,1,1,1,0,1,1,0,1111110110,8,DM EM Online Events Account's Play Keep It  Trips  Lattice Play,54883,Medium,#c1d82f,HCLS,5,,,
DM EM Online Events Account's Play Seeds Trips Third Party Lattice Play,,341,1,1,1,1,1,1,0,1,1,1,1111110111,9,DM EM Online Events Account's Play Keep It  Trips Third Party Lattice Play,80576,High,#7AB800,HCLS,22,,,
DM EM Online Events Account's Play Seeds Trips Try n' Buy Third Party Lattice Play,,342,1,1,1,1,1,1,1,1,1,1,1111111111,10,DM EM Online Events Account's Play Keep It  Trips  Try n' Buy Third Party Lattice Play,50000,Medium,#c1d82f,HCLS,1,,,
Lattice Play,,343,0,0,0,1,0,0,0,0,0,0,1000000,1, Lattice Play,140738,High,#7AB800,LI,1,,,
Trips,,344,0,0,0,0,1,0,0,0,0,0,100000,1, Trips  ,81896,Medium,#c1d82f,LI,3,,,
Trips Lattice Play,,345,0,0,0,1,1,0,0,0,0,0,1100000,2, Trips  Lattice Play,153750,High,#7AB800,LI,2,,,
Trips Third Party Lattice Play,,346,0,0,0,1,1,0,0,0,0,1,1100001,3, Trips Third Party Lattice Play,80000,Medium,#c1d82f,LI,1,,,
Account's Play,,347,0,0,0,0,0,0,0,0,1,0,10,1,Account's Play ,26667,Low,#DC5034,LI,3,,,
Account's Play Trips Lattice Play,,348,0,0,0,1,1,0,0,0,1,0,1100010,3,Account's Play Trips  Lattice Play,41237,Low,#DC5034,LI,4,,,
Online,,349,0,0,0,0,0,0,0,1,0,0,100,1,Online ,60000,Medium,#c1d82f,LI,2,,,
Online Lattice Play,,350,0,0,0,1,0,0,0,1,0,0,1000100,2,Online Lattice Play,20739,Low,#DC5034,LI,2,,,
Online Trips,,351,0,0,0,0,1,0,0,1,0,0,100100,2,Online Trips  ,158482,High,#7AB800,LI,9,,,
Online Trips Lattice Play,,352,0,0,0,1,1,0,0,1,0,0,1100100,3,Online Trips  Lattice Play,144962,High,#7AB800,LI,9,,,
Online Trips Third Party,,353,0,0,0,0,1,0,0,1,0,1,100101,3,Online Trips Third Party ,67718,Medium,#c1d82f,LI,2,,,
Online Trips Third Party Lattice Play,,354,0,0,0,1,1,0,0,1,0,1,1100101,4,Online Trips Third Party Lattice Play,78866,Medium,#c1d82f,LI,15,,,
Online Account's Play Lattice Play,,355,0,0,0,1,0,0,0,1,1,0,1000110,3,Online Account's Play Lattice Play,86667,Medium,#c1d82f,LI,3,,,
Online Account's Play Trips,,356,0,0,0,0,1,0,0,1,1,0,100110,3,Online Account's Play Trips  ,58999,Medium,#c1d82f,LI,1,,,
Online Account's Play Trips Lattice Play,,357,0,0,0,1,1,0,0,1,1,0,1100110,4,Online Account's Play Trips  Lattice Play,32215,Low,#DC5034,LI,5,,,
Online Account's Play Trips Third Party Lattice Play,,358,0,0,0,1,1,0,0,1,1,1,1100111,5,Online Account's Play Trips Third Party Lattice Play,209834,High,#7AB800,LI,66,,,
Online Account's Play Trips Try n' Buy Third Party Lattice Play,,359,0,0,0,1,1,0,1,1,1,1,1101111,6,Online Account's Play Trips  Try n' Buy Third Party Lattice Play,46000,Medium,#c1d82f,LI,1,,,
Online Account's Play Seeds Trips Third Party Lattice Play,,360,0,0,0,1,1,1,0,1,1,1,1110111,6,Online Account's Play Keep It  Trips Third Party Lattice Play,75500,Medium,#c1d82f,LI,4,,,
Online Events,,361,0,0,1,0,0,0,0,1,0,0,10000100,2,Online Events,37000,Low,#DC5034,LI,1,,,
Online Events Trips Lattice Play,,362,0,0,1,1,1,0,0,1,0,0,11100100,4,Online Events  Trips  Lattice Play,100407,Medium,#c1d82f,LI,20,,,
Online Events Trips Third Party,,363,0,0,1,0,1,0,0,1,0,1,10100101,4,Online Events  Trips Third Party ,82077,Medium,#c1d82f,LI,4,,,
Online Events Trips Third Party Lattice Play,,364,0,0,1,1,1,0,0,1,0,1,11100101,5,Online Events  Trips Third Party Lattice Play,158416,High,#7AB800,LI,31,,,
Online Events Trips Try n' Buy Third Party Lattice Play,,365,0,0,1,1,1,0,1,1,0,1,11101101,6,Online Events  Trips  Try n' Buy Third Party Lattice Play,400000,High,#7AB800,LI,1,,,
Online Events Account's Play Third Party Lattice Play,,366,0,0,1,1,0,0,0,1,1,1,11000111,5,Online Events Account's Play Third Party Lattice Play,243500,High,#7AB800,LI,4,,,
Online Events Account's Play Trips Lattice Play,,367,0,0,1,1,1,0,0,1,1,0,11100110,5,Online Events Account's Play Trips  Lattice Play,177554,High,#7AB800,LI,15,,,
Online Events Account's Play Trips Third Party Lattice Play,,368,0,0,1,1,1,0,0,1,1,1,11100111,6,Online Events Account's Play Trips Third Party Lattice Play,163754,High,#7AB800,LI,461,,,
Online Events Account's Play Trips Try n' Buy Lattice Play,,369,0,0,1,1,1,0,1,1,1,0,11101110,6,Online Events Account's Play Trips  Try n' Buy Lattice Play,268598,High,#7AB800,LI,2,,,
Online Events Account's Play Trips Try n' Buy Third Party Lattice Play,,370,0,0,1,1,1,0,1,1,1,1,11101111,7,Online Events Account's Play Trips  Try n' Buy Third Party Lattice Play,108284,High,#7AB800,LI,61,,,
Online Events Account's Play Seeds Trips Third Party Lattice Play,,371,0,0,1,1,1,1,0,1,1,1,11110111,7,Online Events Account's Play Keep It  Trips Third Party Lattice Play,261931,High,#7AB800,LI,33,,,
Online Events Account's Play Seeds Trips Try n' Buy Third Party Lattice Play,,372,0,0,1,1,1,1,1,1,1,1,11111111,8,Online Events Account's Play Keep It  Trips  Try n' Buy Third Party Lattice Play,115033,High,#7AB800,LI,18,,,
EM,,373,1,0,0,0,0,0,0,0,0,0,1000000000,1, EM,63810,Medium,#c1d82f,LI,9,,,
EM Lattice Play,,374,1,0,0,1,0,0,0,0,0,0,1001000000,2, EM Lattice Play,11667,Low,#DC5034,LI,3,,,
EM Third Party,,375,1,0,0,0,0,0,0,0,0,1,1000000001,2, EM Third Party ,36667,Low,#DC5034,LI,3,,,
EM Trips,,376,1,0,0,0,1,0,0,0,0,0,1000100000,2, EM  Trips  ,19000,Low,#DC5034,LI,1,,,
EM Trips Lattice Play,,377,1,0,0,1,1,0,0,0,0,0,1001100000,3, EM  Trips  Lattice Play,41000,Low,#DC5034,LI,2,,,
EM Trips Third Party,,378,1,0,0,0,1,0,0,0,0,1,1000100001,3, EM  Trips Third Party ,52700,Medium,#c1d82f,LI,1,,,
EM Account's Play Lattice Play,,379,1,0,0,1,0,0,0,0,1,0,1001000010,3, EM Account's Play Lattice Play,10000,Low,#DC5034,LI,2,,,
EM Account's Play Trips,,380,1,0,0,0,1,0,0,0,1,0,1000100010,3, EM Account's Play Trips  ,41867,Low,#DC5034,LI,3,,,
EM Account's Play Trips Lattice Play,,381,1,0,0,1,1,0,0,0,1,0,1001100010,4, EM Account's Play Trips  Lattice Play,38800,Low,#DC5034,LI,5,,,
EM Account's Play Trips Third Party,,382,1,0,0,0,1,0,0,0,1,1,1000100011,4, EM Account's Play Trips Third Party ,141564,High,#7AB800,LI,1,,,
EM Events,,383,1,0,1,0,0,0,0,0,0,0,1010000000,2, EM Events,50000,Medium,#c1d82f,LI,1,,,
EM Events Trips,,384,1,0,1,0,1,0,0,0,0,0,1010100000,3, EM Events  Trips  ,107830,Medium,#c1d82f,LI,2,,,
EM Events Trips Lattice Play,,385,1,0,1,1,1,0,0,0,0,0,1011100000,4, EM Events  Trips  Lattice Play,850000,High,#7AB800,LI,2,,,
EM Events Trips Third Party,,386,1,0,1,0,1,0,0,0,0,1,1010100001,4, EM Events  Trips Third Party ,25000,Low,#DC5034,LI,1,,,
EM Events Trips Third Party Lattice Play,,387,1,0,1,1,1,0,0,0,0,1,1011100001,5, EM Events  Trips Third Party Lattice Play,112067,High,#7AB800,LI,3,,,
EM Events Seeds Trips Lattice Play,,388,1,0,1,1,1,1,0,0,0,0,1011110000,5, EM Events Keep It  Trips  Lattice Play,219508,High,#7AB800,LI,2,,,
EM Online,,389,1,0,0,0,0,0,0,1,0,0,1000000100,2, EM Online ,48109,Medium,#c1d82f,LI,8,,,
EM Online Lattice Play,,390,1,0,0,1,0,0,0,1,0,0,1001000100,3, EM Online Lattice Play,21655,Low,#DC5034,LI,6,,,
EM Online Third Party Lattice Play,,391,1,0,0,1,0,0,0,1,0,1,1001000101,4, EM Online Third Party Lattice Play,90000,Medium,#c1d82f,LI,1,,,
EM Online Trips,,392,1,0,0,0,1,0,0,1,0,0,1000100100,3, EM Online Trips  ,95400,Medium,#c1d82f,LI,7,,,
EM Online Trips Lattice Play,,393,1,0,0,1,1,0,0,1,0,0,1001100100,4, EM Online Trips  Lattice Play,120512,High,#7AB800,LI,24,,,
EM Online Trips Third Party,,394,1,0,0,0,1,0,0,1,0,1,1000100101,4, EM Online Trips Third Party ,100000,Medium,#c1d82f,LI,1,,,
EM Online Trips Third Party Lattice Play,,395,1,0,0,1,1,0,0,1,0,1,1001100101,5, EM Online Trips Third Party Lattice Play,118881,High,#7AB800,LI,46,,,
EM Online Trips Try n' Buy Lattice Play,,396,1,0,0,1,1,0,1,1,0,0,1001101100,5, EM Online Trips  Try n' Buy Lattice Play,90000,Medium,#c1d82f,LI,1,,,
EM Online Trips Try n' Buy Third Party Lattice Play,,397,1,0,0,1,1,0,1,1,0,1,1001101101,6, EM Online Trips  Try n' Buy Third Party Lattice Play,93300,Medium,#c1d82f,LI,8,,,
EM Online Seeds Trips Third Party Lattice Play,,398,1,0,0,1,1,1,0,1,0,1,1001110101,6, EM Online Keep It  Trips Third Party Lattice Play,117656,High,#7AB800,LI,1,,,
EM Online Seeds Trips Try n' Buy Third Party Lattice Play,,399,1,0,0,1,1,1,1,1,0,1,1001111101,7, EM Online Keep It  Trips  Try n' Buy Third Party Lattice Play,154566,High,#7AB800,LI,1,,,
EM Online Account's Play Lattice Play,,400,1,0,0,1,0,0,0,1,1,0,1001000110,4, EM Online Account's Play Lattice Play,26750,Low,#DC5034,LI,4,,,
EM Online Account's Play Trips Lattice Play,,401,1,0,0,1,1,0,0,1,1,0,1001100110,5, EM Online Account's Play Trips  Lattice Play,63046,Medium,#c1d82f,LI,15,,,
EM Online Account's Play Trips Third Party Lattice Play,,402,1,0,0,1,1,0,0,1,1,1,1001100111,6, EM Online Account's Play Trips Third Party Lattice Play,279448,High,#7AB800,LI,22,,,
EM Online Account's Play Trips Try n' Buy Lattice Play,,403,1,0,0,1,1,0,1,1,1,0,1001101110,6, EM Online Account's Play Trips  Try n' Buy Lattice Play,12000,Low,#DC5034,LI,1,,,
EM Online Account's Play Trips Try n' Buy Third Party Lattice Play,,404,1,0,0,1,1,0,1,1,1,1,1001101111,7, EM Online Account's Play Trips  Try n' Buy Third Party Lattice Play,95403,Medium,#c1d82f,LI,1,,,
EM Online Account's Play Seeds Trips Third Party Lattice Play,,405,1,0,0,1,1,1,0,1,1,1,1001110111,7, EM Online Account's Play Keep It  Trips Third Party Lattice Play,44132,Low,#DC5034,LI,2,,,
EM Online Events Trips,,406,1,0,1,0,1,0,0,1,0,0,1010100100,4, EM Online Events  Trips  ,146474,High,#7AB800,LI,5,,,
EM Online Events Trips Lattice Play,,407,1,0,1,1,1,0,0,1,0,0,1011100100,5, EM Online Events  Trips  Lattice Play,103840,Medium,#c1d82f,LI,15,,,
EM Online Events Trips Third Party,,408,1,0,1,0,1,0,0,1,0,1,1010100101,5, EM Online Events  Trips Third Party ,750000,High,#7AB800,LI,1,,,
EM Online Events Trips Third Party Lattice Play,,409,1,0,1,1,1,0,0,1,0,1,1011100101,6, EM Online Events  Trips Third Party Lattice Play,115266,High,#7AB800,LI,96,,,
EM Online Events Trips Try n' Buy Lattice Play,,410,1,0,1,1,1,0,1,1,0,0,1011101100,6, EM Online Events  Trips  Try n' Buy Lattice Play,277951,High,#7AB800,LI,2,,,
EM Online Events Trips Try n' Buy Third Party Lattice Play,,411,1,0,1,1,1,0,1,1,0,1,1011101101,7, EM Online Events  Trips  Try n' Buy Third Party Lattice Play,113578,High,#7AB800,LI,15,,,
EM Online Events Seeds Trips Lattice Play,,412,1,0,1,1,1,1,0,1,0,0,1011110100,6, EM Online Events Keep It  Trips  Lattice Play,28800,Low,#DC5034,LI,1,,,
EM Online Events Seeds Trips Third Party Lattice Play,,413,1,0,1,1,1,1,0,1,0,1,1011110101,7, EM Online Events Keep It  Trips Third Party Lattice Play,28500,Low,#DC5034,LI,2,,,
EM Online Events Seeds Trips Try n' Buy Third Party Lattice Play,,414,1,0,1,1,1,1,1,1,0,1,1011111101,8, EM Online Events Keep It  Trips  Try n' Buy Third Party Lattice Play,173600,High,#7AB800,LI,1,,,
EM Online Events Account's Play Trips,,415,1,0,1,0,1,0,0,1,1,0,1010100110,5, EM Online Events Account's Play Trips  ,100000,Medium,#c1d82f,LI,1,,,
EM Online Events Account's Play Trips Lattice Play,,416,1,0,1,1,1,0,0,1,1,0,1011100110,6, EM Online Events Account's Play Trips  Lattice Play,70188,Medium,#c1d82f,LI,13,,,
EM Online Events Account's Play Trips Third Party Lattice Play,,417,1,0,1,1,1,0,0,1,1,1,1011100111,7, EM Online Events Account's Play Trips Third Party Lattice Play,187055,High,#7AB800,LI,83,,,
EM Online Events Account's Play Trips Try n' Buy Lattice Play,,418,1,0,1,1,1,0,1,1,1,0,1011101110,7, EM Online Events Account's Play Trips  Try n' Buy Lattice Play,143374,High,#7AB800,LI,5,,,
EM Online Events Account's Play Trips Try n' Buy Third Party Lattice Play,,419,1,0,1,1,1,0,1,1,1,1,1011101111,8, EM Online Events Account's Play Trips  Try n' Buy Third Party Lattice Play,311083,High,#7AB800,LI,34,,,
EM Online Events Account's Play Seeds Trips Third Party Lattice Play,,420,1,0,1,1,1,1,0,1,1,1,1011110111,8, EM Online Events Account's Play Keep It  Trips Third Party Lattice Play,747173,High,#7AB800,LI,1,,,
EM Online Events Account's Play Seeds Trips Try n' Buy Third Party Lattice Play,,421,1,0,1,1,1,1,1,1,1,1,1011111111,9, EM Online Events Account's Play Keep It  Trips  Try n' Buy Third Party Lattice Play,124578,High,#7AB800,LI,4,,,
DM,,422,0,1,0,0,0,0,0,0,0,0,100000000,1,DM ,25000,Low,#DC5034,LI,1,,,
DM Third Party,,423,0,1,0,0,0,0,0,0,0,1,100000001,2,DM Third Party ,30000,Low,#DC5034,LI,1,,,
DM Online Trips,,424,0,1,0,0,1,0,0,1,0,0,100100100,3,DM Online Trips  ,14315,Low,#DC5034,LI,2,,,
DM Online Trips Lattice Play,,425,0,1,0,1,1,0,0,1,0,0,101100100,4,DM Online Trips  Lattice Play,7832,Low,#DC5034,LI,1,,,
DM Online Account's Play,,426,0,1,0,0,0,0,0,1,1,0,100000110,3,DM Online Account's Play ,9000,Low,#DC5034,LI,1,,,
DM Online Account's Play Lattice Play,,427,0,1,0,1,0,0,0,1,1,0,101000110,4,DM Online Account's Play Lattice Play,7750,Low,#DC5034,LI,2,,,
DM Online Account's Play Trips Lattice Play,,428,0,1,0,1,1,0,0,1,1,0,101100110,5,DM Online Account's Play Trips  Lattice Play,5000,Low,#DC5034,LI,1,,,
DM EM,,429,1,1,0,0,0,0,0,0,0,0,1100000000,2,DM EM,48846,Medium,#c1d82f,LI,14,,,
DM EM Lattice Play,,430,1,1,0,1,0,0,0,0,0,0,1101000000,3,DM EM Lattice Play,33102,Low,#DC5034,LI,15,,,
DM EM Third Party,,431,1,1,0,0,0,0,0,0,0,1,1100000001,3,DM EM Third Party ,37815,Low,#DC5034,LI,2,,,
DM EM Third Party Lattice Play,,432,1,1,0,1,0,0,0,0,0,1,1101000001,4,DM EM Third Party Lattice Play,35000,Low,#DC5034,LI,3,,,
DM EM Trips,,433,1,1,0,0,1,0,0,0,0,0,1100100000,3,DM EM  Trips  ,54220,Medium,#c1d82f,LI,4,,,
DM EM Trips Lattice Play,,434,1,1,0,1,1,0,0,0,0,0,1101100000,4,DM EM  Trips  Lattice Play,45752,Low,#DC5034,LI,5,,,
DM EM Trips Third Party,,435,1,1,0,0,1,0,0,0,0,1,1100100001,4,DM EM  Trips Third Party ,47500,Medium,#c1d82f,LI,4,,,
DM EM Trips Third Party Lattice Play,,436,1,1,0,1,1,0,0,0,0,1,1101100001,5,DM EM  Trips Third Party Lattice Play,36000,Low,#DC5034,LI,8,,,
DM EM Account's Play,,437,1,1,0,0,0,0,0,0,1,0,1100000010,3,DM EM Account's Play ,25000,Low,#DC5034,LI,1,,,
DM EM Account's Play Lattice Play,,438,1,1,0,1,0,0,0,0,1,0,1101000010,4,DM EM Account's Play Lattice Play,31978,Low,#DC5034,LI,1,,,
DM EM Account's Play Third Party Lattice Play,,439,1,1,0,1,0,0,0,0,1,1,1101000011,5,DM EM Account's Play Third Party Lattice Play,50000,Medium,#c1d82f,LI,1,,,
DM EM Account's Play Trips,,440,1,1,0,0,1,0,0,0,1,0,1100100010,4,DM EM Account's Play Trips  ,23750,Low,#DC5034,LI,4,,,
DM EM Account's Play Trips Lattice Play,,441,1,1,0,1,1,0,0,0,1,0,1101100010,5,DM EM Account's Play Trips  Lattice Play,45494,Low,#DC5034,LI,5,,,
DM EM Account's Play Trips Third Party Lattice Play,,442,1,1,0,1,1,0,0,0,1,1,1101100011,6,DM EM Account's Play Trips Third Party Lattice Play,38520,Low,#DC5034,LI,3,,,
DM EM Events Lattice Play,,443,1,1,1,1,0,0,0,0,0,0,1111000000,4,DM EM Events Lattice Play,11000,Low,#DC5034,LI,1,,,
DM EM Events Third Party,,444,1,1,1,0,0,0,0,0,0,1,1110000001,4,DM EM Events Third Party ,56000,Medium,#c1d82f,LI,1,,,
DM EM Events Third Party Lattice Play,,445,1,1,1,1,0,0,0,0,0,1,1111000001,5,DM EM Events Third Party Lattice Play,25000,Low,#DC5034,LI,1,,,
DM EM Events Trips,,446,1,1,1,0,1,0,0,0,0,0,1110100000,4,DM EM Events  Trips  ,58333,Medium,#c1d82f,LI,3,,,
DM EM Events Trips Lattice Play,,447,1,1,1,1,1,0,0,0,0,0,1111100000,5,DM EM Events  Trips  Lattice Play,67531,Medium,#c1d82f,LI,5,,,
DM EM Events Trips Third Party,,448,1,1,1,0,1,0,0,0,0,1,1110100001,5,DM EM Events  Trips Third Party ,43750,Low,#DC5034,LI,2,,,
DM EM Events Trips Third Party Lattice Play,,449,1,1,1,1,1,0,0,0,0,1,1111100001,6,DM EM Events  Trips Third Party Lattice Play,11250,Low,#DC5034,LI,4,,,
DM EM Events Account's Play Trips,,450,1,1,1,0,1,0,0,0,1,0,1110100010,5,DM EM Events Account's Play Trips  ,20000,Low,#DC5034,LI,1,,,
DM EM Events Account's Play Trips Third Party,,451,1,1,1,0,1,0,0,0,1,1,1110100011,6,DM EM Events Account's Play Trips Third Party ,27000,Low,#DC5034,LI,1,,,
DM EM Events Account's Play Trips Third Party Lattice Play,,452,1,1,1,1,1,0,0,0,1,1,1111100011,7,DM EM Events Account's Play Trips Third Party Lattice Play,36538,Low,#DC5034,LI,13,,,
DM EM Events Account's Play Seeds Trips Lattice Play,,453,1,1,1,1,1,1,0,0,1,0,1111110010,7,DM EM Events Account's Play Keep It  Trips  Lattice Play,12000,Low,#DC5034,LI,1,,,
DM EM Events Account's Play Seeds Trips Third Party Lattice Play,,454,1,1,1,1,1,1,0,0,1,1,1111110011,8,DM EM Events Account's Play Keep It  Trips Third Party Lattice Play,4788,Low,#DC5034,LI,1,,,
DM EM Online,,455,1,1,0,0,0,0,0,1,0,0,1100000100,3,DM EM Online ,33148,Low,#DC5034,LI,11,,,
DM EM Online Lattice Play,,456,1,1,0,1,0,0,0,1,0,0,1101000100,4,DM EM Online Lattice Play,40400,Low,#DC5034,LI,45,,,
DM EM Online Third Party,,457,1,1,0,0,0,0,0,1,0,1,1100000101,4,DM EM Online Third Party ,230800,High,#7AB800,LI,5,,,
DM EM Online Third Party Lattice Play,,458,1,1,0,1,0,0,0,1,0,1,1101000101,5,DM EM Online Third Party Lattice Play,65854,Medium,#c1d82f,LI,25,,,
DM EM Online Trips,,459,1,1,0,0,1,0,0,1,0,0,1100100100,4,DM EM Online Trips  ,64633,Medium,#c1d82f,LI,13,,,
DM EM Online Trips Lattice Play,,460,1,1,0,1,1,0,0,1,0,0,1101100100,5,DM EM Online Trips  Lattice Play,107566,Medium,#c1d82f,LI,218,,,
DM EM Online Trips Third Party,,461,1,1,0,0,1,0,0,1,0,1,1100100101,5,DM EM Online Trips Third Party ,88798,Medium,#c1d82f,LI,10,,,
DM EM Online Trips Third Party Lattice Play,,462,1,1,0,1,1,0,0,1,0,1,1101100101,6,DM EM Online Trips Third Party Lattice Play,96608,Medium,#c1d82f,LI,419,,,
DM EM Online Trips Try n' Buy Lattice Play,,463,1,1,0,1,1,0,1,1,0,0,1101101100,6,DM EM Online Trips  Try n' Buy Lattice Play,241246,High,#7AB800,LI,6,,,
DM EM Online Trips Try n' Buy Third Party Lattice Play,,464,1,1,0,1,1,0,1,1,0,1,1101101101,7,DM EM Online Trips  Try n' Buy Third Party Lattice Play,218594,High,#7AB800,LI,26,,,
DM EM Online Seeds Trips,,465,1,1,0,0,1,1,0,1,0,0,1100110100,5,DM EM Online Keep It  Trips  ,88333,Medium,#c1d82f,LI,3,,,
DM EM Online Seeds Trips Lattice Play,,466,1,1,0,1,1,1,0,1,0,0,1101110100,6,DM EM Online Keep It  Trips  Lattice Play,114352,High,#7AB800,LI,9,,,
DM EM Online Seeds Trips Third Party Lattice Play,,467,1,1,0,1,1,1,0,1,0,1,1101110101,7,DM EM Online Keep It  Trips Third Party Lattice Play,198483,High,#7AB800,LI,9,,,
DM EM Online Seeds Trips Try n' Buy Third Party Lattice Play,,468,1,1,0,1,1,1,1,1,0,1,1101111101,8,DM EM Online Keep It  Trips  Try n' Buy Third Party Lattice Play,275030,High,#7AB800,LI,2,,,
DM EM Online Account's Play,,469,1,1,0,0,0,0,0,1,1,0,1100000110,4,DM EM Online Account's Play ,5000,Low,#DC5034,LI,1,,,
DM EM Online Account's Play Lattice Play,,470,1,1,0,1,0,0,0,1,1,0,1101000110,5,DM EM Online Account's Play Lattice Play,75304,Medium,#c1d82f,LI,16,,,
DM EM Online Account's Play Third Party Lattice Play,,471,1,1,0,1,0,0,0,1,1,1,1101000111,6,DM EM Online Account's Play Third Party Lattice Play,62712,Medium,#c1d82f,LI,17,,,
DM EM Online Account's Play Trips,,472,1,1,0,0,1,0,0,1,1,0,1100100110,5,DM EM Online Account's Play Trips  ,58333,Medium,#c1d82f,LI,3,,,
DM EM Online Account's Play Trips Lattice Play,,473,1,1,0,1,1,0,0,1,1,0,1101100110,6,DM EM Online Account's Play Trips  Lattice Play,89081,Medium,#c1d82f,LI,324,,,
DM EM Online Account's Play Trips Third Party Lattice Play,,474,1,1,0,1,1,0,0,1,1,1,1101100111,7,DM EM Online Account's Play Trips Third Party Lattice Play,93784,Medium,#c1d82f,LI,949,,,
DM EM Online Account's Play Trips Try n' Buy Lattice Play,,475,1,1,0,1,1,0,1,1,1,0,1101101110,7,DM EM Online Account's Play Trips  Try n' Buy Lattice Play,754915,High,#7AB800,LI,20,,,
DM EM Online Account's Play Trips Try n' Buy Third Party Lattice Play,,476,1,1,0,1,1,0,1,1,1,1,1101101111,8,DM EM Online Account's Play Trips  Try n' Buy Third Party Lattice Play,193723,High,#7AB800,LI,90,,,
DM EM Online Account's Play Seeds Trips Lattice Play,,477,1,1,0,1,1,1,0,1,1,0,1101110110,7,DM EM Online Account's Play Keep It  Trips  Lattice Play,45121,Low,#DC5034,LI,3,,,
DM EM Online Account's Play Seeds Trips Third Party Lattice Play,,478,1,1,0,1,1,1,0,1,1,1,1101110111,8,DM EM Online Account's Play Keep It  Trips Third Party Lattice Play,71431,Medium,#c1d82f,LI,29,,,
DM EM Online Account's Play Seeds Trips Try n' Buy Lattice Play,,479,1,1,0,1,1,1,1,1,1,0,1101111110,8,DM EM Online Account's Play Keep It  Trips  Try n' Buy Lattice Play,842298,High,#7AB800,LI,2,,,
DM EM Online Account's Play Seeds Trips Try n' Buy Third Party Lattice Play,,480,1,1,0,1,1,1,1,1,1,1,1101111111,9,DM EM Online Account's Play Keep It  Trips  Try n' Buy Third Party Lattice Play,527365,High,#7AB800,LI,11,,,
DM EM Online Events Lattice Play,,481,1,1,1,1,0,0,0,1,0,0,1111000100,5,DM EM Online Events Lattice Play,65000,Medium,#c1d82f,LI,3,,,
DM EM Online Events Third Party Lattice Play,,482,1,1,1,1,0,0,0,1,0,1,1111000101,6,DM EM Online Events Third Party Lattice Play,44478,Low,#DC5034,LI,15,,,
DM EM Online Events Trips,,483,1,1,1,0,1,0,0,1,0,0,1110100100,5,DM EM Online Events  Trips  ,75000,Medium,#c1d82f,LI,3,,,
DM EM Online Events Trips Lattice Play,,484,1,1,1,1,1,0,0,1,0,0,1111100100,6,DM EM Online Events  Trips  Lattice Play,95778,Medium,#c1d82f,LI,117,,,
DM EM Online Events Trips Third Party,,485,1,1,1,0,1,0,0,1,0,1,1110100101,6,DM EM Online Events  Trips Third Party ,24000,Low,#DC5034,LI,2,,,
DM EM Online Events Trips Third Party Lattice Play,,486,1,1,1,1,1,0,0,1,0,1,1111100101,7,DM EM Online Events  Trips Third Party Lattice Play,94729,Medium,#c1d82f,LI,757,,,
DM EM Online Events Trips Try n' Buy Lattice Play,,487,1,1,1,1,1,0,1,1,0,0,1111101100,7,DM EM Online Events  Trips  Try n' Buy Lattice Play,264109,High,#7AB800,LI,2,,,
DM EM Online Events Trips Try n' Buy Third Party Lattice Play,,488,1,1,1,1,1,0,1,1,0,1,1111101101,8,DM EM Online Events  Trips  Try n' Buy Third Party Lattice Play,150871,High,#7AB800,LI,74,,,
DM EM Online Events Seeds Trips Lattice Play,,489,1,1,1,1,1,1,0,1,0,0,1111110100,7,DM EM Online Events Keep It  Trips  Lattice Play,66941,Medium,#c1d82f,LI,2,,,
