string_combination,,id,em,dm,events,lat_play,trips,seeds,tnb,online,ap,tp,string,sum,organization,total_amount,group,color,segment,Opportunities,,,
DM Online Account's Play Trips Lattice Play,,80,0,1,0,1,1,0,0,1,1,0,101100110,5,DM Online Account's Play  Trips  Lattice Play,45000,High,#7AB800,EB,2,,,
DM Online Events,,81,0,1,1,0,0,0,0,1,0,0,110000100,3,DM Online Events,10000,Low,#DC5034,EB,1,,,
DM Online Events Lattice Play,,82,0,1,1,1,0,0,0,1,0,0,111000100,4,DM Online Events Lattice Play,28243,Medium,#c1d82f,EB,7,,,
DM Online Events Third Party Lattice Play,,83,0,1,1,1,0,0,0,1,0,1,111000101,5,DM Online Events Third Party Lattice Play,50000,High,#7AB800,EB,1,,,
DM Online Events Trips,,84,0,1,1,0,1,0,0,1,0,0,110100100,4,DM Online Events  Trips ,15000,Low,#DC5034,EB,1,,,
DM Online Events Trips Lattice Play,,85,0,1,1,1,1,0,0,1,0,0,111100100,5,DM Online Events  Trips  Lattice Play,21875,Medium,#c1d82f,EB,8,,,
DM Online Events Trips Third Party Lattice Play,,86,0,1,1,1,1,0,0,1,0,1,111100101,6,DM Online Events  Trips  Third Party Lattice Play,55000,High,#7AB800,EB,1,,,
DM Online Events Account's Play Lattice Play,,87,0,1,1,1,0,0,0,1,1,0,111000110,5,DM Online Events Account's Play Lattice Play,11100,Low,#DC5034,EB,1,,,
DM Online Events Account's Play Trips Third Party Lattice Play,,88,0,1,1,1,1,0,0,1,1,1,111100111,7,DM Online Events Account's Play  Trips  Third Party Lattice Play,16000,Low,#DC5034,EB,1,,,
DM EM,,89,1,1,0,0,0,0,0,0,0,0,1100000000,2,DM EM,30236,High,#7AB800,EB,73,,,
DM EM Lattice Play,,90,1,1,0,1,0,0,0,0,0,0,1101000000,3,DM EM Lattice Play,21747,Medium,#c1d82f,EB,451,,,
DM EM Third Party,,91,1,1,0,0,0,0,0,0,0,1,1100000001,3,DM EM Third Party,60714,High,#7AB800,EB,7,,,
DM EM Third Party Lattice Play,,92,1,1,0,1,0,0,0,0,0,1,1101000001,4,DM EM Third Party Lattice Play,23453,Medium,#c1d82f,EB,54,,,
DM EM Trips,,93,1,1,0,0,1,0,0,0,0,0,1100100000,3,DM EM  Trips ,29059,High,#7AB800,EB,1504,,,
DM EM Trips Lattice Play,,94,1,1,0,1,1,0,0,0,0,0,1101100000,4,DM EM  Trips  Lattice Play,35837,High,#7AB800,EB,79,,,
DM EM Trips Third Party,,95,1,1,0,0,1,0,0,0,0,1,1100100001,4,DM EM  Trips  Third Party,50000,High,#7AB800,EB,1,,,
DM EM Trips Third Party Lattice Play,,96,1,1,0,1,1,0,0,0,0,1,1101100001,5,DM EM  Trips  Third Party Lattice Play,25455,Medium,#c1d82f,EB,11,,,
DM EM Account's Play Lattice Play,,97,1,1,0,1,0,0,0,0,1,0,1101000010,4,DM EM Account's Play Lattice Play,20302,Low,#DC5034,EB,27,,,
DM EM Account's Play Third Party,,98,1,1,0,0,0,0,0,0,1,1,1100000011,4,DM EM Account's Play Third Party,12500,Low,#DC5034,EB,2,,,
DM EM Account's Play Third Party Lattice Play,,99,1,1,0,1,0,0,0,0,1,1,1101000011,5,DM EM Account's Play Third Party Lattice Play,12714,Low,#DC5034,EB,7,,,
DM EM Account's Play Trips Lattice Play,,100,1,1,0,1,1,0,0,0,1,0,1101100010,5,DM EM Account's Play  Trips  Lattice Play,42616,High,#7AB800,EB,10,,,
DM EM Account's Play Trips Third Party,,101,1,1,0,0,1,0,0,0,1,1,1100100011,5,DM EM Account's Play  Trips  Third Party,12000,Low,#DC5034,EB,1,,,
DM EM Events,,102,1,1,1,0,0,0,0,0,0,0,1110000000,3,DM EM Events,25500,Medium,#c1d82f,EB,4,,,
DM EM Events Lattice Play,,103,1,1,1,1,0,0,0,0,0,0,1111000000,4,DM EM Events Lattice Play,24546,Medium,#c1d82f,EB,21,,,
DM EM Events Third Party,,104,1,1,1,0,0,0,0,0,0,1,1110000001,4,DM EM Events Third Party,18000,Low,#DC5034,EB,1,,,
DM EM Events Third Party Lattice Play,,105,1,1,1,1,0,0,0,0,0,1,1111000001,5,DM EM Events Third Party Lattice Play,12567,Low,#DC5034,EB,3,,,
DM EM Events Trips,,106,1,1,1,0,1,0,0,0,0,0,1110100000,4,DM EM Events  Trips ,28879,Medium,#c1d82f,EB,713,,,
DM EM Events Trips Lattice Play,,107,1,1,1,1,1,0,0,0,0,0,1111100000,5,DM EM Events  Trips  Lattice Play,30750,High,#7AB800,EB,30,,,
DM EM Events Trips Third Party Lattice Play,,108,1,1,1,1,1,0,0,0,0,1,1111100001,6,DM EM Events  Trips  Third Party Lattice Play,24375,Medium,#c1d82f,EB,4,,,
DM EM Events Account's Play Lattice Play,,109,1,1,1,1,0,0,0,0,1,0,1111000010,5,DM EM Events Account's Play Lattice Play,22320,Medium,#c1d82f,EB,10,,,
DM EM Events Account's Play Third Party,,110,1,1,1,0,0,0,0,0,1,1,1110000011,5,DM EM Events Account's Play Third Party,50000,High,#7AB800,EB,1,,,
DM EM Events Account's Play Third Party Lattice Play,,111,1,1,1,1,0,0,0,0,1,1,1111000011,6,DM EM Events Account's Play Third Party Lattice Play,15000,Low,#DC5034,EB,1,,,
DM EM Events Account's Play Trips Lattice Play,,112,1,1,1,1,1,0,0,0,1,0,1111100010,6,DM EM Events Account's Play  Trips  Lattice Play,17241,Low,#DC5034,EB,2,,,
DM EM Events Account's Play Trips Third Party Lattice Play,,113,1,1,1,1,1,0,0,0,1,1,1111100011,7,DM EM Events Account's Play  Trips  Third Party Lattice Play,32500,High,#7AB800,EB,2,,,
DM EM Online,,114,1,1,0,0,0,0,0,1,0,0,1100000100,3,DM EM Online,35233,High,#7AB800,EB,42,,,
DM EM Online Lattice Play,,115,1,1,0,1,0,0,0,1,0,0,1101000100,4,DM EM Online Lattice Play,23402,Medium,#c1d82f,EB,583,,,
DM EM Online Third Party,,116,1,1,0,0,0,0,0,1,0,1,1100000101,4,DM EM Online Third Party,25945,Medium,#c1d82f,EB,9,,,
DM EM Online Third Party Lattice Play,,117,1,1,0,1,0,0,0,1,0,1,1101000101,5,DM EM Online Third Party Lattice Play,33195,High,#7AB800,EB,90,,,
DM EM Online Trips,,118,1,1,0,0,1,0,0,1,0,0,1100100100,4,DM EM Online  Trips ,30000,High,#7AB800,EB,1,,,
DM EM Online Trips Lattice Play,,119,1,1,0,1,1,0,0,1,0,0,1101100100,5,DM EM Online  Trips  Lattice Play,29310,High,#7AB800,EB,93,,,
DM EM Online Trips Third Party,,120,1,1,0,0,1,0,0,1,0,1,1100100101,5,DM EM Online  Trips  Third Party,7500,Low,#DC5034,EB,1,,,
DM EM Online Trips Third Party Lattice Play,,121,1,1,0,1,1,0,0,1,0,1,1101100101,6,DM EM Online  Trips  Third Party Lattice Play,32581,High,#7AB800,EB,17,,,
DM EM Online Account's Play Lattice Play,,122,1,1,0,1,0,0,0,1,1,0,1101000110,5,DM EM Online Account's Play Lattice Play,18854,Low,#DC5034,EB,42,,,
DM EM Online Account's Play Third Party,,123,1,1,0,0,0,0,0,1,1,1,1100000111,5,DM EM Online Account's Play Third Party,10000,Low,#DC5034,EB,1,,,
DM EM Online Account's Play Third Party Lattice Play,,124,1,1,0,1,0,0,0,1,1,1,1101000111,6,DM EM Online Account's Play Third Party Lattice Play,20706,Medium,#c1d82f,EB,9,,,
DM EM Online Account's Play Trips,,125,1,1,0,0,1,0,0,1,1,0,1100100110,5,DM EM Online Account's Play  Trips ,31963,High,#7AB800,EB,2,,,
DM EM Online Account's Play Trips Lattice Play,,126,1,1,0,1,1,0,0,1,1,0,1101100110,6,DM EM Online Account's Play  Trips  Lattice Play,24678,Medium,#c1d82f,EB,6,,,
DM EM Online Account's Play Trips Third Party,,127,1,1,0,0,1,0,0,1,1,1,1100100111,6,DM EM Online Account's Play  Trips  Third Party,15000,Low,#DC5034,EB,1,,,
DM EM Online Account's Play Trips Third Party Lattice Play,,128,1,1,0,1,1,0,0,1,1,1,1101100111,7,DM EM Online Account's Play  Trips  Third Party Lattice Play,30689,High,#7AB800,EB,6,,,
DM EM Online Events,,129,1,1,1,0,0,0,0,1,0,0,1110000100,4,DM EM Online Events,15000,Low,#DC5034,EB,1,,,
DM EM Online Events Lattice Play,,130,1,1,1,1,0,0,0,1,0,0,1111000100,5,DM EM Online Events Lattice Play,20456,Medium,#c1d82f,EB,48,,,
DM EM Online Events Third Party Lattice Play,,131,1,1,1,1,0,0,0,1,0,1,1111000101,6,DM EM Online Events Third Party Lattice Play,30000,High,#7AB800,EB,2,,,
DM EM Online Events Trips,,132,1,1,1,0,1,0,0,1,0,0,1110100100,5,DM EM Online Events  Trips ,65000,High,#7AB800,EB,1,,,
DM EM Online Events Trips Lattice Play,,133,1,1,1,1,1,0,0,1,0,0,1111100100,6,DM EM Online Events  Trips  Lattice Play,34560,High,#7AB800,EB,39,,,
DM EM Online Events Trips Third Party,,134,1,1,1,0,1,0,0,1,0,1,1110100101,6,DM EM Online Events  Trips  Third Party,5000,Low,#DC5034,EB,1,,,
DM EM Online Events Trips Third Party Lattice Play,,135,1,1,1,1,1,0,0,1,0,1,1111100101,7,DM EM Online Events  Trips  Third Party Lattice Play,26109,Medium,#c1d82f,EB,12,,,
DM EM Online Events Account's Play Lattice Play,,136,1,1,1,1,0,0,0,1,1,0,1111000110,6,DM EM Online Events Account's Play Lattice Play,31833,High,#7AB800,EB,6,,,
DM EM Online Events Account's Play Third Party Lattice Play,,137,1,1,1,1,0,0,0,1,1,1,1111000111,7,DM EM Online Events Account's Play Third Party Lattice Play,29000,High,#7AB800,EB,2,,,
DM EM Online Events Account's Play Trips Lattice Play,,138,1,1,1,1,1,0,0,1,1,0,1111100110,7,DM EM Online Events Account's Play  Trips  Lattice Play,19800,Low,#DC5034,EB,4,,,
DM EM Online Events Account's Play Trips Third Party Lattice Play,,139,1,1,1,1,1,0,0,1,1,1,1111100111,8,DM EM Online Events Account's Play  Trips  Third Party Lattice Play,5000,Low,#DC5034,EB,1,,,
Lattice Play,,140,0,0,0,1,0,0,0,0,0,0,1000000,1, Lattice Play,96000,Medium,#c1d82f,G500,1,,,
Third Party Lattice Play,,141,0,0,0,1,0,0,0,0,0,1,1000001,2,Third Party Lattice Play,30000,Low,#DC5034,G500,1,,,
Online Third Party Lattice Play,,142,0,0,0,1,0,0,0,1,0,1,1000101,3,Online Third Party Lattice Play,32000,Low,#DC5034,G500,1,,,
Online Events Lattice Play,,143,0,0,1,1,0,0,0,1,0,0,11000100,3,Online Events Lattice Play,903500,High,#7AB800,G500,2,,,
Online Events Third Party Lattice Play,,144,0,0,1,1,0,0,0,1,0,1,11000101,4,Online Events Third Party Lattice Play,12002,Low,#DC5034,G500,1,,,
Online Events Trips Third Party Lattice Play,,145,0,0,1,1,1,0,0,1,0,1,11100101,5,Online Events  Trips Third Party Lattice Play,241580,High,#7AB800,G500,5,,,
Online Events Trips Try n' Buy Third Party Lattice Play,,146,0,0,1,1,1,0,1,1,0,1,11101101,6,Online Events  Trips  Try n' Buy Third Party Lattice Play,203676,Medium,#c1d82f,G500,22,,,
Online Events Seeds Trips Third Party Lattice Play,,147,0,0,1,1,1,1,0,1,0,1,11110101,6,Online Events Keep It  Trips Third Party Lattice Play,163485,Medium,#c1d82f,G500,7,,,
Online Events Seeds Trips Try n' Buy Third Party Lattice Play,,148,0,0,1,1,1,1,1,1,0,1,11111101,7,Online Events Keep It  Trips  Try n' Buy Third Party Lattice Play,906267,High,#7AB800,G500,12,,,
Online Events Account's Play Trips Third Party Lattice Play,,149,0,0,1,1,1,0,0,1,1,1,11100111,6,Online Events Account's Play Trips Third Party Lattice Play,554138,High,#7AB800,G500,20,,,
Online Events Account's Play Trips Try n' Buy Third Party Lattice Play,,150,0,0,1,1,1,0,1,1,1,1,11101111,7,Online Events Account's Play Trips  Try n' Buy Third Party Lattice Play,425503,High,#7AB800,G500,31,,,
Online Events Account's Play Seeds Trips Third Party Lattice Play,,151,0,0,1,1,1,1,0,1,1,1,11110111,7,Online Events Account's Play Keep It  Trips Third Party Lattice Play,643879,High,#7AB800,G500,3,,,
Online Events Account's Play Seeds Trips Try n' Buy Third Party Lattice Play,,152,0,0,1,1,1,1,1,1,1,1,11111111,8,Online Events Account's Play Keep It  Trips  Try n' Buy Third Party Lattice Play,115847,Medium,#c1d82f,G500,8,,,
EM Trips Third Party,,153,1,0,0,0,1,0,0,0,0,1,1000100001,3, EM  Trips Third Party ,54000,Low,#DC5034,G500,1,,,
EM Online Lattice Play,,154,1,0,0,1,0,0,0,1,0,0,1001000100,3, EM Online Lattice Play,2825000,High,#7AB800,G500,2,,,
EM Online Third Party Lattice Play,,155,1,0,0,1,0,0,0,1,0,1,1001000101,4, EM Online Third Party Lattice Play,108929,Medium,#c1d82f,G500,14,,,
EM Online Trips Lattice Play,,156,1,0,0,1,1,0,0,1,0,0,1001100100,4, EM Online Trips  Lattice Play,260027,High,#7AB800,G500,5,,,
EM Online Account's Play Third Party Lattice Play,,157,1,0,0,1,0,0,0,1,1,1,1001000111,5, EM Online Account's Play Third Party Lattice Play,33333,Low,#DC5034,G500,3,,,
